production_route,page_type,v2_route_or_pattern,relationship,migration_action,canonical_or_target,blocking_status,notes
"/","home","/design-lab/home-v2/","full-v2-analog","replace","/","ready",""
"/404.html","error-document","/design-lab/v2/404/","future-production-404","404","","ready-specimen","Design-lab specimen is a normal static route; future production response status must be configured during migration"
"/blagoustroystvo-territoriy/","direction","/design-lab/v2/blagoustroystvo-territoriy/","full-v2-analog","replace","/blagoustroystvo-territoriy/","ready","One linked project remains text-only; non-blocking"
"/izgotovlenie-na-zakaz/","custom-order","/design-lab/v2/izgotovlenie-na-zakaz/","full-v2-analog","replace","/izgotovlenie-na-zakaz/","ready",""
"/kontakty/","contacts","/design-lab/v2/kontakty/","full-v2-analog","replace","/kontakty/","ready",""
"/lavochki-i-skameyki/","legacy-alias","(no V2 content duplicate)","redirect-only","redirect","/ulichnaya-mebel/lavochki-i-skameyki/","blocked-routing","Current static output includes meta-refresh fallback"
"/metallokonstruktsii-dlya-biznesa/","direction","/design-lab/v2/metallokonstruktsii-dlya-biznesa/","full-v2-analog","replace","/metallokonstruktsii-dlya-biznesa/","ready",""
"/navesy-i-kozyrki/","direction","/design-lab/v2/navesy-i-kozyrki/","full-v2-analog","replace","/navesy-i-kozyrki/","ready",""
"/navesy/","legacy-alias","(no V2 content duplicate)","redirect-only","redirect","/navesy-i-kozyrki/","blocked-routing","Current production uses indexable self-canonical meta refresh"
"/o-nas/","about","/design-lab/v2/o-nas/","full-v2-analog","replace","/o-nas/","ready",""
"/ograzhdeniya-i-zabory/","catalog-section","/design-lab/v2/ograzhdeniya-i-zabory/","full-v2-analog","replace","/ograzhdeniya-i-zabory/","ready",""
"/ograzhdeniya-i-zabory/dekorativnye-ograzhdeniya/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/dekorativnye-ograzhdeniya/","full-v2-analog","dynamic-template","/ograzhdeniya-i-zabory/dekorativnye-ograzhdeniya/","ready","sparse: no active products; shared honest sparse state; no usable category media; text/graphic fallback"
"/ograzhdeniya-i-zabory/gazonnye-ograzhdeniya/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/gazonnye-ograzhdeniya/","full-v2-analog","dynamic-template","/ograzhdeniya-i-zabory/gazonnye-ograzhdeniya/","ready","sparse: no active products; shared honest sparse state"
"/ograzhdeniya-i-zabory/kalitki/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/kalitki/","full-v2-analog","dynamic-template","/ograzhdeniya-i-zabory/kalitki/","ready","sparse: no active products; shared honest sparse state"
"/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/","full-v2-analog","dynamic-template","/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/","ready",""
"/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-duo/","catalog-product","/design-lab/v2/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-duo/","full-v2-analog","dynamic-template","/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-duo/","ready","zero-media record; honest zero-media fallback"
"/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-modul/","catalog-product","/design-lab/v2/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-modul/","full-v2-analog","dynamic-template","/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-modul/","ready","zero-media record; honest zero-media fallback"
"/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-zakrytaya/","catalog-product","/design-lab/v2/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-zakrytaya/","full-v2-analog","dynamic-template","/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-zakrytaya/","ready","zero-media record; honest zero-media fallback"
"/ograzhdeniya-i-zabory/perila-i-poruchni/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/perila-i-poruchni/","full-v2-analog","dynamic-template","/ograzhdeniya-i-zabory/perila-i-poruchni/","ready","sparse: no active products; shared honest sparse state"
"/ograzhdeniya-i-zabory/sekcionnye-ograzhdeniya/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/sekcionnye-ograzhdeniya/","full-v2-analog","dynamic-template","/ograzhdeniya-i-zabory/sekcionnye-ograzhdeniya/","ready","sparse: no active products; shared honest sparse state"
"/ograzhdeniya-i-zabory/stolbiki-i-bollardy/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/stolbiki-i-bollardy/","full-v2-analog","dynamic-template","/ograzhdeniya-i-zabory/stolbiki-i-bollardy/","ready","sparse: no active products; shared honest sparse state; no usable category media; text/graphic fallback"
"/ograzhdeniya-i-zabory/vorota/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/vorota/","full-v2-analog","dynamic-template","/ograzhdeniya-i-zabory/vorota/","ready","sparse: no active products; shared honest sparse state"
"/ograzhdeniya-i-zabory/zabory/","catalog-category","/design-lab/v2/ograzhdeniya-i-zabory/zabory/","full-v2-analog","dynamic-template","/ograzhdeniya-i-zabory/zabory/","ready","sparse: no active products; shared honest sparse state"
"/politika-konfidencialnosti/","legal","/design-lab/v2/politika-konfidencialnosti/","full-v2-analog","replace","/politika-konfidencialnosti/","ready",""
"/stroitelstvo-i-remonty/","direction","/design-lab/v2/stroitelstvo-i-remonty/","full-v2-analog","replace","/stroitelstvo-i-remonty/","ready",""
"/topiarii/","direction","/design-lab/v2/topiarii/","full-v2-analog","replace","/topiarii/","ready",""
"/ulichnaya-mebel/","catalog-section","/design-lab/v2/ulichnaya-mebel/","full-v2-analog","replace","/ulichnaya-mebel/","ready",""
"/ulichnaya-mebel/besedki-i-pergoly/","catalog-category","/design-lab/v2/ulichnaya-mebel/besedki-i-pergoly/","full-v2-analog","dynamic-template","/ulichnaya-mebel/besedki-i-pergoly/","ready",""
"/ulichnaya-mebel/besedki-i-pergoly/besedka-kofe/","catalog-product","/design-lab/v2/ulichnaya-mebel/besedki-i-pergoly/besedka-kofe/","full-v2-analog","dynamic-template","/ulichnaya-mebel/besedki-i-pergoly/besedka-kofe/","ready",""
"/ulichnaya-mebel/besedki-i-pergoly/besedka-kub/","catalog-product","/design-lab/v2/ulichnaya-mebel/besedki-i-pergoly/besedka-kub/","full-v2-analog","dynamic-template","/ulichnaya-mebel/besedki-i-pergoly/besedka-kub/","ready",""
"/ulichnaya-mebel/besedki-i-pergoly/pergola-lamel/","catalog-product","/design-lab/v2/ulichnaya-mebel/besedki-i-pergoly/pergola-lamel/","full-v2-analog","dynamic-template","/ulichnaya-mebel/besedki-i-pergoly/pergola-lamel/","ready",""
"/ulichnaya-mebel/besedki-i-pergoly/pergola-s-lavkoy/","catalog-product","/design-lab/v2/ulichnaya-mebel/besedki-i-pergoly/pergola-s-lavkoy/","full-v2-analog","dynamic-template","/ulichnaya-mebel/besedki-i-pergoly/pergola-s-lavkoy/","ready",""
"/ulichnaya-mebel/kacheli/","catalog-category","/design-lab/v2/ulichnaya-mebel/kacheli/","full-v2-analog","dynamic-template","/ulichnaya-mebel/kacheli/","ready",""
"/ulichnaya-mebel/kacheli/kachel-duga/","catalog-product","/design-lab/v2/ulichnaya-mebel/kacheli/kachel-duga/","full-v2-analog","dynamic-template","/ulichnaya-mebel/kacheli/kachel-duga/","ready",""
