production_route,page_type,v2_route_or_pattern,v2_component_template,data_source,media_source,canonical_target,migration_action,dependencies,known_gaps,blocking_status
"/","home","/design-lab/home-v2/","HomeV2","src/content/static-pages/home.json; src/content/site-settings/global.json","home record media; existing desktop/mobile hero video and public uploads","/","replace","V2 shared Header/MobileMenu/Footer; production URL preserved","","ready"
"/404.html","error-document","/design-lab/v2/404/","V2NotFoundPage + CatalogV2Layout","src/pages/404.astro (copy reference); isolated V2 specimen","none","","404","Host must serve future production document with real HTTP 404","Design-lab specimen is a normal static route; future production response status must be configured during migration","ready-specimen"
"/blagoustroystvo-territoriy/","direction","/design-lab/v2/blagoustroystvo-territoriy/","PlaceDirectionV2Layout + project media adapter","src/content/services/blagoustroystvo.json","src/content/services/blagoustroystvo.json; V2 project/media-role adapter","/blagoustroystvo-territoriy/","replace","Direction V2 adapter; project presentation data","One linked project remains text-only; non-blocking","ready"
"/izgotovlenie-na-zakaz/","custom-order","/design-lab/v2/izgotovlenie-na-zakaz/","CustomOrderV2Page + customOrderV2Data + CatalogV2Layout","src/content/static-pages/custom-order.json; selected active product/service/project records; site settings","existing approved finished-result project media and assigned catalog renders; V2-only adapter","/izgotovlenie-na-zakaz/","replace","V2 shared shell; active directions/products/projects; direct contacts","","ready"
"/kontakty/","contacts","/design-lab/v2/kontakty/","V2ContactsPage + V2YandexMap","src/pages/kontakty.astro; src/data/yandex.json; src/content/site-settings/global.json","existing Yandex Constructor widget configuration; no new map/media","/kontakty/","replace","V2 shared practical-page shell and current production data","","ready"
"/lavochki-i-skameyki/","legacy-alias","(no V2 content duplicate)","redirect policy only","src/pages/lavochki-i-skameyki.astro","none","/ulichnaya-mebel/lavochki-i-skameyki/","redirect","Production routing/deployment layer capable of real HTTP 301","Current static output includes meta-refresh fallback","blocked-routing"
"/metallokonstruktsii-dlya-biznesa/","direction","/design-lab/v2/metallokonstruktsii-dlya-biznesa/","EngineeringDirectionV2Layout + engineeringDirectionV2Data","src/content/product-sections/metallokonstruktsii-dlya-biznesa.json","src/content/product-sections/metallokonstruktsii-dlya-biznesa.json; V2 project/media-role adapter where assigned","/metallokonstruktsii-dlya-biznesa/","replace","Direction V2 adapter; shared gallery where present","","ready"
"/navesy-i-kozyrki/","direction","/design-lab/v2/navesy-i-kozyrki/","DirectionV2Layout + directionV2Data","src/content/product-sections/navesy.json","src/content/product-sections/navesy.json; V2 project/media-role adapter where assigned","/navesy-i-kozyrki/","replace","Direction V2 adapter; shared gallery where present","","ready"
"/navesy/","legacy-alias","(no V2 content duplicate)","redirect policy only","src/pages/navesy/index.astro","none","/navesy-i-kozyrki/","redirect","Production routing/deployment layer capable of real HTTP 301","Current production uses indexable self-canonical meta refresh","blocked-routing"
"/o-nas/","about","/design-lab/v2/o-nas/","V2CompanyPage + PracticalV2Layout","src/content/static-pages/about.json; src/content/site-settings/global.json","approved finished-result project media through mediaRoleAdapter","/o-nas/","replace","V2 shared practical-page shell and current production data","","ready"
"/ograzhdeniya-i-zabory/","catalog-section","/design-lab/v2/ograzhdeniya-i-zabory/","CatalogSectionV2","src/content/product-sections/ograzhdeniya-i-zabory.json","src/content/product-sections/ograzhdeniya-i-zabory.json image/pageBlocks","/ograzhdeniya-i-zabory/","replace","Catalog V2 data layer; active category records","","ready"
