source_route,href,resolved_target,target_exists,anchor_exists,kind,status,issue
/,/,/,true,true,internal,pass,
/,/ulichnaya-mebel/,/ulichnaya-mebel/,true,true,internal,pass,
/,/ograzhdeniya-i-zabory/,/ograzhdeniya-i-zabory/,true,true,internal,pass,
/,/navesy-i-kozyrki/,/navesy-i-kozyrki/,true,true,internal,pass,
/,/topiarii/,/topiarii/,true,true,internal,pass,
/,/izgotovlenie-na-zakaz/,/izgotovlenie-na-zakaz/,true,true,internal,pass,
/,/metallokonstruktsii-dlya-biznesa/,/metallokonstruktsii-dlya-biznesa/,true,true,internal,pass,
/,/blagoustroystvo-territoriy/,/blagoustroystvo-territoriy/,true,true,internal,pass,
/,/stroitelstvo-i-remonty/,/stroitelstvo-i-remonty/,true,true,internal,pass,
/,/vypolnennye-obekty/,/vypolnennye-obekty/,true,true,internal,pass,
/,/o-nas/,/o-nas/,true,true,internal,pass,
/,/kontakty/,/kontakty/,true,true,internal,pass,
/,/vakansii/,/vakansii/,true,true,internal,pass,
/,tel:+79129735006,,true,true,tel,pass,
/,https://t.me/smu1build,,true,true,external,pass,
/,#contact,/,true,true,anchor,pass,
/,/,/,true,true,internal,pass,
/,#contact,/,true,true,anchor,pass,
/,/ulichnaya-mebel/,/ulichnaya-mebel/,true,true,internal,pass,
/,/ograzhdeniya-i-zabory/,/ograzhdeniya-i-zabory/,true,true,internal,pass,
/,/navesy-i-kozyrki/,/navesy-i-kozyrki/,true,true,internal,pass,
/,/topiarii/,/topiarii/,true,true,internal,pass,
/,/metallokonstruktsii-dlya-biznesa/,/metallokonstruktsii-dlya-biznesa/,true,true,internal,pass,
/,/blagoustroystvo-territoriy/,/blagoustroystvo-territoriy/,true,true,internal,pass,
/,/stroitelstvo-i-remonty/,/stroitelstvo-i-remonty/,true,true,internal,pass,
/,/izgotovlenie-na-zakaz/,/izgotovlenie-na-zakaz/,true,true,internal,pass,
/,/vypolnennye-obekty/,/vypolnennye-obekty/,true,true,internal,pass,
/,/o-nas/,/o-nas/,true,true,internal,pass,
/,/kontakty/,/kontakty/,true,true,internal,pass,
/,/vakansii/,/vakansii/,true,true,internal,pass,
/,tel:+79129735006,,true,true,tel,pass,
/,tel:+79125799665,,true,true,tel,pass,
/,https://t.me/smu1build,,true,true,external,pass,
/,mailto:smu1.kurgan@yandex.ru,,true,true,mailto,pass,
/,#contact,/,true,true,anchor,pass,
/,/vypolnennye-obekty/,/vypolnennye-obekty/,true,true,internal,pass,
/,/metallokonstruktsii-dlya-biznesa/,/metallokonstruktsii-dlya-biznesa/,true,true,internal,pass,
/,/stroitelstvo-i-remonty/,/stroitelstvo-i-remonty/,true,true,internal,pass,
/,#directions,/,true,true,anchor,pass,
/,#directions,/,true,true,anchor,pass,
/,#projects,/,true,true,anchor,pass,
/,#brief,/,true,true,anchor,pass,
/,#contact,/,true,true,anchor,pass,
/,/stroitelstvo-i-remonty/,/stroitelstvo-i-remonty/,true,true,internal,pass,
/,/metallokonstruktsii-dlya-biznesa/,/metallokonstruktsii-dlya-biznesa/,true,true,internal,pass,
/,/ulichnaya-mebel/,/ulichnaya-mebel/,true,true,internal,pass,
/,/ograzhdeniya-i-zabory/,/ograzhdeniya-i-zabory/,true,true,internal,pass,
/,/navesy-i-kozyrki/,/navesy-i-kozyrki/,true,true,internal,pass,
/,/topiarii/,/topiarii/,true,true,internal,pass,
/,/blagoustroystvo-territoriy/,/blagoustroystvo-territoriy/,true,true,internal,pass,
/,/vypolnennye-obekty/,/vypolnennye-obekty/,true,true,internal,pass,
/,/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/,/vypolnennye-obekty/blagoustroystvo-naberezhnoy-reki-tobol/,true,true,internal,pass,
/,/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/,/vypolnennye-obekty/kompleks-rabot-na-proizvodstvennoy-territorii/,true,true,internal,pass,
/,/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/,/vypolnennye-obekty/gorodskie-kacheli-dlya-obshchestvennyh-territoriy/,true,true,internal,pass,
/,/izgotovlenie-na-zakaz/,/izgotovlenie-na-zakaz/,true,true,internal,pass,
/,https://t.me/smu1build,,true,true,external,pass,
/,/kontakty/,/kontakty/,true,true,internal,pass,
/,tel:+79129735006,,true,true,tel,pass,
/,tel:+79125799665,,true,true,tel,pass,
/,https://t.me/smu1build,,true,true,external,pass,
/,mailto:smu1.kurgan@yandex.ru,,true,true,mailto,pass,
/,/,/,true,true,internal,pass,
/,/ulichnaya-mebel/,/ulichnaya-mebel/,true,true,internal,pass,
/,/ograzhdeniya-i-zabory/,/ograzhdeniya-i-zabory/,true,true,internal,pass,
/,/navesy-i-kozyrki/,/navesy-i-kozyrki/,true,true,internal,pass,
/,/metallokonstruktsii-dlya-biznesa/,/metallokonstruktsii-dlya-biznesa/,true,true,internal,pass,
/,/topiarii/,/topiarii/,true,true,internal,pass,
/,/blagoustroystvo-territoriy/,/blagoustroystvo-territoriy/,true,true,internal,pass,
/,/stroitelstvo-i-remonty/,/stroitelstvo-i-remonty/,true,true,internal,pass,
/,/ulichnaya-mebel/,/ulichnaya-mebel/,true,true,internal,pass,
/,/ograzhdeniya-i-zabory/,/ograzhdeniya-i-zabory/,true,true,internal,pass,
/,/navesy-i-kozyrki/,/navesy-i-kozyrki/,true,true,internal,pass,
/,/metallokonstruktsii-dlya-biznesa/,/metallokonstruktsii-dlya-biznesa/,true,true,internal,pass,
/,/topiarii/,/topiarii/,true,true,internal,pass,
/,/blagoustroystvo-territoriy/,/blagoustroystvo-territoriy/,true,true,internal,pass,
/,/stroitelstvo-i-remonty/,/stroitelstvo-i-remonty/,true,true,internal,pass,
/,/izgotovlenie-na-zakaz/,/izgotovlenie-na-zakaz/,true,true,internal,pass,
/,/vypolnennye-obekty/,/vypolnennye-obekty/,true,true,internal,pass,
/,/o-nas/,/o-nas/,true,true,internal,pass,
/,/kontakty/,/kontakty/,true,true,internal,pass,
/,/vakansii/,/vakansii/,true,true,internal,pass,
