kind,sequence,source_route,target_route,route_type,viewport,initial_scroll_y,final_scroll_y,expected_scroll_y,hash,history_action,status,notes
direct,1,,/,home,1440x900,0,0,0,,,pass,after-media=0
direct,2,,/ulichnaya-mebel/,direction,1440x900,0,0,0,,,pass,after-media=0
direct,3,,/ograzhdeniya-i-zabory/,direction,1440x900,0,0,0,,,pass,after-media=0
direct,4,,/navesy-i-kozyrki/,direction,1440x900,0,0,0,,,pass,after-media=0
direct,5,,/metallokonstruktsii-dlya-biznesa/,direction,1440x900,0,0,0,,,pass,after-media=0
direct,6,,/topiarii/,direction,1440x900,0,0,0,,,pass,after-media=0
direct,7,,/blagoustroystvo-territoriy/,direction,1440x900,0,0,0,,,pass,after-media=0
direct,8,,/stroitelstvo-i-remonty/,direction,1440x900,0,0,0,,,pass,after-media=0
direct,9,,/ograzhdeniya-i-zabory/zabory/,category,1440x900,0,0,0,,,pass,after-media=0
direct,10,,/ulichnaya-mebel/lavochki-i-skameyki/,category,1440x900,0,0,0,,,pass,after-media=0
direct,11,,/ograzhdeniya-i-zabory/vorota/,category,1440x900,0,0,0,,,pass,after-media=0
direct,12,,/ulichnaya-mebel/stoly-i-komplekty/,category,1440x900,0,0,0,,,pass,after-media=0
direct,13,,/ograzhdeniya-i-zabory/kalitki/,category,1440x900,0,0,0,,,pass,after-media=0
direct,14,,/ulichnaya-mebel/urny/,category,1440x900,0,0,0,,,pass,after-media=0
direct,15,,/ulichnaya-mebel/vazony-i-tsvetochnitsy/,category,1440x900,0,0,0,,,pass,after-media=0
direct,16,,/ograzhdeniya-i-zabory/sekcionnye-ograzhdeniya/,category,1440x900,0,0,0,,,pass,after-media=0
direct,17,,/ulichnaya-mebel/veloparkovki/,category,1440x900,0,0,0,,,pass,after-media=0
direct,18,,/ograzhdeniya-i-zabory/dekorativnye-ograzhdeniya/,category,1440x900,0,0,0,,,pass,after-media=0
direct,19,,/ograzhdeniya-i-zabory/gazonnye-ograzhdeniya/,category,1440x900,0,0,0,,,pass,after-media=0
direct,20,,/ulichnaya-mebel/shezlongi/,category,1440x900,0,0,0,,,pass,after-media=0
direct,21,,/ulichnaya-mebel/kacheli/,category,1440x900,0,0,0,,,pass,after-media=0
direct,22,,/ograzhdeniya-i-zabory/perila-i-poruchni/,category,1440x900,0,0,0,,,pass,after-media=0
direct,23,,/ulichnaya-mebel/besedki-i-pergoly/,category,1440x900,0,0,0,,,pass,after-media=0
direct,24,,/ograzhdeniya-i-zabory/stolbiki-i-bollardy/,category,1440x900,0,0,0,,,pass,after-media=0
direct,25,,/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/,category,1440x900,0,0,0,,,pass,after-media=0
direct,26,,/ulichnaya-mebel/ulichnoe-osveshchenie/,category,1440x900,0,0,0,,,pass,after-media=0
direct,27,,/ulichnaya-mebel/malye-elementy/,category,1440x900,0,0,0,,,pass,after-media=0
direct,28,,/ulichnaya-mebel/navesy/,category,1440x900,0,0,0,,,pass,after-media=0
direct,29,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-smu1-bazovaya/,product,1440x900,0,0,0,,,pass,after-media=0
direct,30,,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-ritm/,product,1440x900,0,0,0,,,pass,after-media=0
direct,31,,/ulichnaya-mebel/kacheli/kachel-portal/,product,1440x900,0,0,0,,,pass,after-media=0
direct,32,,/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-modul/,product,1440x900,0,0,0,,,pass,after-media=0
direct,33,,/ulichnaya-mebel/veloparkovki/parkovka-dlya-samokatov-arka/,product,1440x900,0,0,0,,,pass,after-media=0
direct,34,,/ulichnaya-mebel/besedki-i-pergoly/pergola-lamel/,product,1440x900,0,0,0,,,pass,after-media=0
direct,35,,/ulichnaya-mebel/malye-elementy/sidenie-pilon/,product,1440x900,0,0,0,,,pass,after-media=0
direct,36,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-loft/,product,1440x900,0,0,0,,,pass,after-media=0
direct,37,,/ulichnaya-mebel/stoly-i-komplekty/stol-so-skamyami-orbita/,product,1440x900,0,0,0,,,pass,after-media=0
direct,38,,/ulichnaya-mebel/urny/urna-vertikal/,product,1440x900,0,0,0,,,pass,after-media=0
direct,39,,/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor/,product,1440x900,0,0,0,,,pass,after-media=0
direct,40,,/ulichnaya-mebel/shezlongi/shezlong-volna/,product,1440x900,0,0,0,,,pass,after-media=0
direct,41,,/ulichnaya-mebel/navesy/ekran-s-navesom/,product,1440x900,0,0,0,,,pass,after-media=0
direct,42,,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-kontur/,product,1440x900,0,0,0,,,pass,after-media=0
direct,43,,/ulichnaya-mebel/veloparkovki/veloparkovka-marker/,product,1440x900,0,0,0,,,pass,after-media=0
direct,44,,/ulichnaya-mebel/kacheli/kachel-duga/,product,1440x900,0,0,0,,,pass,after-media=0
direct,45,,/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-zakrytaya/,product,1440x900,0,0,0,,,pass,after-media=0
direct,46,,/ulichnaya-mebel/navesy/naves-terra/,product,1440x900,0,0,0,,,pass,after-media=0
direct,47,,/ulichnaya-mebel/besedki-i-pergoly/pergola-s-lavkoy/,product,1440x900,0,0,0,,,pass,after-media=0
direct,48,,/ulichnaya-mebel/malye-elementy/sidenie-kub/,product,1440x900,0,0,0,,,pass,after-media=0
direct,49,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-volna/,product,1440x900,0,0,0,,,pass,after-media=0
