route,page_type,first_screen_quality,hero_media_quality,palette_consistency,motion,spacing,mobile,issue_found,issue_fixed
/,home,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/metallokonstruktsii-dlya-biznesa/,direction,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/navesy-i-kozyrki/,direction,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/ograzhdeniya-i-zabory/,direction,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/topiarii/,direction,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/ulichnaya-mebel/,direction,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/blagoustroystvo-territoriy/,direction,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/stroitelstvo-i-remonty/,direction,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/ulichnaya-mebel/besedki-i-pergoly/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ograzhdeniya-i-zabory/dekorativnye-ograzhdeniya/,category,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/ograzhdeniya-i-zabory/gazonnye-ograzhdeniya/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/kacheli/,category,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
/ograzhdeniya-i-zabory/kalitki/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/lavochki-i-skameyki/,category,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,not-tested,none-detected,verified
/ulichnaya-mebel/malye-elementy/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ulichnaya-mebel/navesy/,category,not-visually-reviewed,not-visually-reviewed,not-visually-reviewed,automated-pass,not-visually-reviewed,not-tested,none-detected,not-applicable
/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/,category,visual-pass,visual-pass,visual-pass,automated-pass,visual-pass,automated-pass,none-detected,verified
